"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"1","L","BE","2","16,23 0208",1,4.25161266576454,0.0677,1.04667963214292
"2","L","BE","2","16,23 0208",1,2.66065968474485,0.0361,1.22837473903271
"3","L","BE","2","16,23 0208",1,4.93782123613311,0.0644,1.2779040466183
"4","L","BE","2","16,23 0208",1,2.82317645220109,0.0529,0.889469581663859
"5","L","BE","2","16,23 0208",1,4.07809001029865,0.065,1.04566410520478
"6","L","BE","2","16,23 0208",1,5.76075293519692,0.0772,1.24368586683871
"7","L","BE","2","16,23 0208",1,3.99021296620775,0.0515,1.29133105702516
"8","L","BE","2","16,23 0208",1,6.14325770750985,0.0664,1.54198235630267
"9","L","BE","2","16,23 0208",1,4.12233801994647,0.0499,1.37686640612775
"10","L","BE","2","16,23 0208",1,4.2802488483685,0.067,1.06473851949465
"11","L","BE","2","16,23 0208",1,4.34466855926187,0.069,1.04943685006325
"12","L","BE","2","16,23 0208",1,4.91758234469871,0.0695,1.17927634165437
"13","L","BE","2","16,23 0208",1,4.55968119815665,0.0592,1.28369403101257
"14","L","BE","2","16,23 0208",1,4.57861621621618,0.0573,1.33176736946369
"15","L","BE","2","16,23 0208",1,3.95237490477255,0.0535,1.23126944073911
"16","L","BE","2","16,23 0208",1,3.66201141340409,0.0525,1.16254330584257
"17","L","BE","2","16,23 0208",1,4.38120393184793,0.0596,1.22516888474495
"18","L","BE","2","16,23 0208",1,4.57491709420129,0.052,1.46631958147477
"19","L","BE","2","16,23 0208",1,4.71575933574617,0.073,1.07665738259045
"20","L","BE","2","16,23 0208",1,3.97683429291864,0.0509,1.30217232904998
"21","L","BE","2","16,23 0208",1,2.5211056126482,0.0399,1.05309340545038
"22","L","BE","2","16,23 0208",1,5.05571018010958,0.0715,1.17848722147077
"23","L","BE","2","16,23 0208",1,3.16494827986081,0.0485,1.08761109273567
"24","L","BE","2","16,23 0208",1,3.18780755725188,0.0583,0.911322915166346
"25","L","BE","2","16,23 0208",1,4.48080838368575,0.0546,1.3677681268882
"26","L","BE","1","12,23 0208",1,2.34675190720497,0.0341,1.1469950670601
"27","L","BE","1","12,23 0208",1,1.52095317460316,0.0274,0.925153999150339
"28","L","BE","1","12,23 0208",1,1.74523829508195,0.0326,0.89224861711756
"29","L","BE","1","12,23 0208",1,1.6517171069727,0.0247,1.11451896556862
"30","L","BE","1","12,23 0208",1,1.55088942287061,0.0269,0.960898031518346
"31","L","BE","1","12,23 0208",1,1.50752446898894,0.0273,0.920344608662355
"32","L","BE","2","16,23 0208",3,4.60214175615914,0.0892,0.859891957428837
"33","L","BE","2","16,23 0208",3,3.40555504682618,0.0648,0.875914363895622
